,Unnamed: 0.1,Unnamed: 0,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,0,0,GOOG,Alphabet Inc.,2022-02-01T16:02:00.000Z,TAS,27.51,30.69,11.55,EST,-18000000,EQUITY
1,1,1,GOOG,Alphabet Inc.,2021-10-26T16:00:00.000Z,TAS,23.47,27.99,19.24,EDT,-14400000,EQUITY
2,2,2,GOOG,Alphabet Inc.,2021-07-27T16:20:00.000Z,TAS,19.29,27.26,41.34,EDT,-14400000,EQUITY
3,3,3,GOOG,Alphabet Inc.,2021-04-27T16:02:00.000Z,TAS,15.88,26.29,65.6,EDT,-14400000,EQUITY
4,4,4,GOOG,Alphabet Inc.,2021-02-02T16:03:00.000Z,TAS,15.99,22.3,39.5,EST,-18000000,EQUITY
5,5,5,GOOG,Alphabet Inc.,2020-10-29T16:13:00.000Z,TAS,11.21,16.4,46.31,EDT,-14400000,EQUITY
6,6,6,GOOG,Alphabet Inc.,2020-07-30T16:14:00.000Z,TAS,8.34,10.13,21.43,EDT,-14400000,EQUITY
7,7,7,GOOG,Alphabet Inc.,2020-04-28T16:06:00.000Z,TAS,10.38,9.87,-4.91,EDT,-14400000,EQUITY
8,8,8,GOOG,Alphabet Inc.,2020-02-03T16:02:00.000Z,TAS,12.59,15.35,21.96,EST,-18000000,EQUITY
9,9,9,GOOG,Alphabet Inc.,2019-10-28T16:04:00.000Z,TAS,12.46,10.12,-18.75,EDT,-14400000,EQUITY
10,10,10,GOOG,Alphabet Inc.,2019-07-25T16:02:00.000Z,TAS,11.33,14.21,25.39,EDT,-14400000,EQUITY
11,11,11,GOOG,Alphabet Inc.,2019-04-29T16:03:00.000Z,TAS,10.63,9.5,-10.63,EDT,-14400000,EQUITY
12,12,12,GOOG,Alphabet Inc.,2019-02-04T16:03:00.000Z,TAS,10.82,12.77,18.0,EST,-18000000,EQUITY
13,13,13,GOOG,Alphabet Inc.,2018-10-25T16:14:00.000Z,TAS,10.4,13.06,25.58,EDT,-14400000,EQUITY
14,14,14,GOOG,Alphabet Inc.,2018-07-23T16:05:00.000Z,TAS,9.54,4.54,-52.4,EDT,-14400000,EQUITY
15,15,15,GOOG,Alphabet Inc.,2018-04-23T17:04:00.000Z,TAS,9.32,13.33,43.06,EDT,-14400000,EQUITY
16,16,16,GOOG,Alphabet Inc.,2018-02-01T16:03:00.000Z,TAS,9.96,9.7,-2.63,EST,-18000000,EQUITY
17,17,17,GOOG,Alphabet Inc.,2017-10-26T16:26:00.000Z,TAS,8.33,9.57,14.9,EDT,-14400000,EQUITY
18,18,18,GOOG,Alphabet Inc.,2017-07-24T16:01:00.000Z,TAS,4.47,5.01,12.06,EDT,-14400000,EQUITY
19,19,19,GOOG,Alphabet Inc.,2017-04-27T16:02:00.000Z,TAS,7.39,7.73,4.61,EDT,-14400000,EQUITY
20,20,20,GOOG,Alphabet Inc.,2017-01-26T16:04:00.000Z,TAS,9.67,9.36,-3.19,EST,-18000000,EQUITY
21,21,21,GOOG,Alphabet Inc.,2016-10-27T16:02:00.000Z,TAS,8.64,9.06,4.84,EDT,-14400000,EQUITY
22,22,22,GOOG,Alphabet Inc.,2016-07-28T16:12:00.000Z,TAS,8.03,8.42,4.88,EDT,-14400000,EQUITY
23,23,23,GOOG,Alphabet Inc.,2016-04-21T16:02:00.000Z,TAS,7.96,7.5,-5.72,EDT,-14400000,EQUITY
24,24,24,GOOG,Alphabet Inc.,2016-02-01T16:04:00.000Z,TAS,8.1,8.67,7.05,EST,-18000000,EQUITY
25,25,25,GOOG,Alphabet Inc.,2015-10-22T16:02:00.000Z,TAS,7.21,7.35,1.91,EDT,-14400000,EQUITY
26,26,26,GOOG,Alphabet Inc.,2015-07-16T16:02:00.000Z,TAS,6.74,6.99,3.66,EDT,-14400000,EQUITY
27,27,27,GOOG,Alphabet Inc.,2015-04-23T16:13:00.000Z,TAS,,6.57,,EDT,-14400000,EQUITY
28,28,28,GOOG,Alphabet Inc.,2015-01-29T16:02:00.000Z,TAS,,6.88,,EST,-18000000,EQUITY
29,29,29,GOOG,Alphabet Inc.,2014-10-16T16:01:00.000Z,TAS,,6.35,,EDT,-14400000,EQUITY
